code_iris,revenu_median,taux_pauvrete,code_arrondissement,annee
751135005,23210.0,28.0,75113,2021
751135006,26310.0,22.0,75113,2021
751135007,22940.0,28.0,75113,2021
751135008,20650.0,29.0,75113,2021
751135009,23930.0,23.0,75113,2021
751135010,28580.0,21.0,75113,2021
751135011,27600.0,20.0,75113,2021
751135012,24440.0,25.0,75113,2021
751135013,15300.0,45.0,75113,2021
751135014,24690.0,36.0,75113,2021
751135015,23730.0,27.0,75113,2021
751135016,20980.0,31.0,75113,2021
751135018,28770.0,19.0,75113,2021
751135019,28020.0,24.0,75113,2021
751135020,28360.0,19.0,75113,2021
751135021,28900.0,17.0,75113,2021
751135023,28210.0,13.0,75113,2021
751135024,32600.0,17.0,75113,2021
751135025,26310.0,22.0,75113,2021
751135026,19950.0,33.0,75113,2021
751135027,17610.0,38.0,75113,2021
751135028,25260.0,25.0,75113,2021
751135029,23900.0,27.0,75113,2021
751135030,22640.0,25.0,75113,2021
751135031,15970.0,44.0,75113,2021
751135101,17740.0,37.0,75113,2021
751135102,22650.0,27.0,75113,2021
751135103,23340.0,27.0,75113,2021
751135104,23270.0,29.0,75113,2021
751135105,32330.0,17.0,75113,2021
751135106,24630.0,25.0,75113,2021
751135107,24400.0,26.0,75113,2021
751135108,15680.0,43.0,75113,2021
751135109,18320.0,37.0,75113,2021
751135110,26250.0,24.0,75113,2021
751135111,22900.0,30.0,75113,2021
751135112,36570.0,13.0,75113,2021
751135113,32790.0,18.0,75113,2021
751135114,29980.0,18.0,75113,2021
751135115,38620.0,11.0,75113,2021
751135116,34560.0,16.0,75113,2021
751135117,27460.0,19.0,75113,2021
751135118,33530.0,13.0,75113,2021
751135119,16060.0,41.0,75113,2021
751135120,33920.0,15.0,75113,2021
751135121,35240.0,11.0,75113,2021
751135122,39020.0,10.0,75113,2021
751135123,31330.0,15.0,75113,2021
751135124,38500.0,10.0,75113,2021
751135125,28080.0,20.0,75113,2021
751135201,37630.0,12.0,75113,2021
751135202,26100.0,27.0,75113,2021
751135203,41470.0,10.0,75113,2021
751135204,30510.0,20.0,75113,2021
751135205,35710.0,15.0,75113,2021
751135206,41180.0,12.0,75113,2021
751135207,41390.0,9.0,75113,2021
751145301,34690.0,17.0,75114,2021
751145302,46270.0,7.0,75114,2021
751145303,39360.0,9.0,75114,2021
751145304,34620.0,15.0,75114,2021
751145305,43270.0,13.0,75114,2021
751145306,41860.0,11.0,75114,2021
751145307,38990.0,15.0,75114,2021
751145308,35040.0,9.0,75114,2021
751145309,47640.0,9.0,75114,2021
751145310,45340.0,9.0,75114,2021
751145402,41170.0,11.0,75114,2021
751145403,32150.0,15.0,75114,2021
751145404,31400.0,17.0,75114,2021
751145405,31170.0,20.0,75114,2021
751145406,45720.0,9.0,75114,2021
751145501,18000.0,39.0,75114,2021
751145502,26680.0,24.0,75114,2021
751145503,16880.0,39.0,75114,2021
751145504,37920.0,12.0,75114,2021
751145505,28280.0,22.0,75114,2021
751145506,41890.0,11.0,75114,2021
751145507,40180.0,11.0,75114,2021
751145508,37130.0,14.0,75114,2021
751145509,39940.0,11.0,75114,2021
751145510,40980.0,11.0,75114,2021
751145511,41510.0,9.0,75114,2021
751145512,37840.0,11.0,75114,2021
751145513,38530.0,11.0,75114,2021
751145514,40690.0,15.0,75114,2021
751145515,35770.0,15.0,75114,2021
751145516,39750.0,9.0,75114,2021
751145601,20240.0,27.0,75114,2021
751145602,17530.0,37.0,75114,2021
751145603,14090.0,49.0,75114,2021
751145604,17620.0,36.0,75114,2021
751145605,30320.0,22.0,75114,2021
751145606,30490.0,18.0,75114,2021
751145607,32210.0,16.0,75114,2021
751145608,32790.0,14.0,75114,2021
751145609,17790.0,37.0,75114,2021
751145610,30160.0,23.0,75114,2021
751145611,19880.0,31.0,75114,2021
751145612,37660.0,11.0,75114,2021
751145613,37610.0,10.0,75114,2021
751145614,32130.0,19.0,75114,2021
751145615,30640.0,17.0,75114,2021
751145616,28750.0,21.0,75114,2021
751145617,18170.0,37.0,75114,2021
751145618,19800.0,34.0,75114,2021
751145619,26930.0,23.0,75114,2021
751145620,25980.0,26.0,75114,2021
751145621,28950.0,19.0,75114,2021
751145622,37780.0,11.0,75114,2021
751145623,33850.0,16.0,75114,2021
751145624,39920.0,12.0,75114,2021
751145625,32250.0,17.0,75114,2021
751155701,17010.0,39.0,75115,2021
751155702,24750.0,25.0,75115,2021
751155703,29760.0,20.0,75115,2021
751155704,17820.0,37.0,75115,2021
751155705,27990.0,23.0,75115,2021
751155706,39560.0,11.0,75115,2021
751155707,32390.0,18.0,75115,2021
751155708,32330.0,21.0,75115,2021
751155709,38530.0,12.0,75115,2021
751155710,35050.0,15.0,75115,2021
751155711,38040.0,13.0,75115,2021
751155712,36980.0,15.0,75115,2021
751155713,46770.0,7.0,75115,2021
751155714,38140.0,12.0,75115,2021
751155715,34380.0,16.0,75115,2021
751155716,33870.0,15.0,75115,2021
751155717,34940.0,15.0,75115,2021
751155718,35000.0,16.0,75115,2021
751155719,36480.0,16.0,75115,2021
751155720,34910.0,16.0,75115,2021
751155721,42150.0,9.0,75115,2021
751155722,42250.0,10.0,75115,2021
751155723,41140.0,10.0,75115,2021
751155724,41720.0,11.0,75115,2021
751155725,44430.0,11.0,75115,2021
751155726,31050.0,18.0,75115,2021
751155727,28930.0,17.0,75115,2021
751155728,39010.0,13.0,75115,2021
751155729,43150.0,11.0,75115,2021
751155730,42270.0,11.0,75115,2021
751155731,30430.0,20.0,75115,2021
751155801,16760.0,42.0,75115,2021
751155802,20550.0,34.0,75115,2021
751155803,44170.0,11.0,75115,2021
751155804,45600.0,11.0,75115,2021
751155805,37500.0,11.0,75115,2021
751155806,38780.0,13.0,75115,2021
751155807,44390.0,11.0,75115,2021
751155808,47530.0,7.0,75115,2021
751155809,47500.0,9.0,75115,2021
751155810,31320.0,20.0,75115,2021
751155811,43130.0,12.0,75115,2021
751155812,50120.0,11.0,75115,2021
751155813,59060.0,7.0,75115,2021
751155814,43770.0,11.0,75115,2021
751155815,39210.0,15.0,75115,2021
751155816,46170.0,13.0,75115,2021
751155817,38980.0,13.0,75115,2021
751155901,37320.0,14.0,75115,2021
751155902,40510.0,11.0,75115,2021
751155903,36170.0,17.0,75115,2021
751155904,45810.0,8.0,75115,2021
751155905,41270.0,13.0,75115,2021
751155906,43280.0,10.0,75115,2021
751155907,33460.0,19.0,75115,2021
751155908,38590.0,22.0,75115,2021
751155909,38140.0,14.0,75115,2021
751155910,38700.0,13.0,75115,2021
751155911,44030.0,11.0,75115,2021
751155912,32250.0,20.0,75115,2021
751155913,55060.0,9.0,75115,2021
751155914,48250.0,13.0,75115,2021
751155915,38670.0,13.0,75115,2021
751155916,36640.0,13.0,75115,2021
751155917,41260.0,11.0,75115,2021
751155918,43700.0,12.0,75115,2021
751155919,35420.0,18.0,75115,2021
751156001,17000.0,40.0,75115,2021
751156002,42140.0,10.0,75115,2021
751156003,35550.0,15.0,75115,2021
751156004,33770.0,16.0,75115,2021
751156005,40140.0,10.0,75115,2021
751156006,34630.0,19.0,75115,2021
751156007,27520.0,24.0,75115,2021
751156008,26680.0,25.0,75115,2021
751156009,27040.0,27.0,75115,2021
751156010,29060.0,22.0,75115,2021
751156012,39690.0,15.0,75115,2021
751156013,40860.0,11.0,75115,2021
751156014,25160.0,25.0,75115,2021
751156015,30370.0,21.0,75115,2021
751156016,30970.0,19.0,75115,2021
751156017,34280.0,16.0,75115,2021
751156018,31870.0,21.0,75115,2021
751156019,41790.0,9.0,75115,2021
751156020,43750.0,10.0,75115,2021
751166101,21560.0,28.0,75116,2021
751166102,29760.0,24.0,75116,2021
751166103,32840.0,21.0,75116,2021
751166104,20780.0,31.0,75116,2021
751166105,39990.0,13.0,75116,2021
751166106,42470.0,13.0,75116,2021
751166107,43970.0,14.0,75116,2021
751166108,24890.0,24.0,75116,2021
751166109,47820.0,12.0,75116,2021
751166110,38510.0,16.0,75116,2021
751166111,51340.0,9.0,75116,2021
751166112,59420.0,7.0,75116,2021
751166113,49430.0,10.0,75116,2021
751166114,31820.0,20.0,75116,2021
751166115,37750.0,17.0,75116,2021
751166116,47330.0,5.0,75116,2021
751166117,48130.0,7.0,75116,2021
751166118,52590.0,11.0,75116,2021
751166119,52440.0,9.0,75116,2021
751166120,57080.0,9.0,75116,2021
751166121,35630.0,21.0,75116,2021
751166122,59230.0,7.0,75116,2021
751166123,61580.0,10.0,75116,2021
751166124,46290.0,15.0,75116,2021
751166125,57170.0,10.0,75116,2021
751166126,55510.0,11.0,75116,2021
751166127,40750.0,16.0,75116,2021
751166128,47770.0,13.0,75116,2021
751166129,37550.0,19.0,75116,2021
751166130,36190.0,18.0,75116,2021
751166201,52550.0,11.0,75116,2021
751166202,50480.0,11.0,75116,2021
751166203,57440.0,11.0,75116,2021
751166204,58220.0,10.0,75116,2021
751166205,66470.0,9.0,75116,2021
751166206,56540.0,11.0,75116,2021
751166207,57470.0,13.0,75116,2021
751166208,70600.0,13.0,75116,2021
751166209,64760.0,9.0,75116,2021
751166210,65760.0,9.0,75116,2021
751166211,56740.0,10.0,75116,2021
751166212,48560.0,13.0,75116,2021
751166213,58540.0,11.0,75116,2021
751166214,57550.0,9.0,75116,2021
751166215,48420.0,10.0,75116,2021
751166216,54610.0,9.0,75116,2021
751166217,53440.0,13.0,75116,2021
751166218,50080.0,15.0,75116,2021
751166219,55560.0,12.0,75116,2021
751166220,49920.0,14.0,75116,2021
751166221,56380.0,13.0,75116,2021
751166301,46950.0,17.0,75116,2021
751166302,44990.0,13.0,75116,2021
751166303,56460.0,12.0,75116,2021
751166304,56120.0,13.0,75116,2021
751166305,41130.0,17.0,75116,2021
751166306,55040.0,14.0,75116,2021
751166307,56170.0,12.0,75116,2021
751166308,47920.0,15.0,75116,2021
751166309,58950.0,13.0,75116,2021
751166310,59110.0,11.0,75116,2021
751166311,52560.0,13.0,75116,2021
751166401,49360.0,13.0,75116,2021
751166402,41740.0,15.0,75116,2021
751166403,49000.0,15.0,75116,2021
751166404,45600.0,13.0,75116,2021
751166405,50770.0,13.0,75116,2021
751166406,52360.0,11.0,75116,2021
751166407,48940.0,15.0,75116,2021
751166409,46510.0,15.0,75116,2021
751176501,47010.0,11.0,75117,2021
751176502,61040.0,9.0,75117,2021
751176503,47480.0,15.0,75117,2021
751176504,50160.0,10.0,75117,2021
751176505,25980.0,27.0,75117,2021
751176506,42660.0,13.0,75117,2021
751176507,44100.0,13.0,75117,2021
751176508,58730.0,9.0,75117,2021
751176509,59200.0,7.0,75117,2021
751176510,47870.0,10.0,75117,2021
751176511,48630.0,11.0,75117,2021
751176512,46000.0,11.0,75117,2021
751176513,49400.0,11.0,75117,2021
751176514,48650.0,10.0,75117,2021
751176515,22950.0,28.0,75117,2021
751176601,54380.0,9.0,75117,2021
751176602,50460.0,8.0,75117,2021
751176603,65580.0,7.0,75117,2021
