CODGEO,PMIMP,DECUC_Q2,DECUC_Q1,DECUC_Q3,BREV,DECUC_D1,DECUC_D9,DECUC_D1D9,DISP_Q2,DISP_Q1,DISP_Q3,TP60,DISP_D1,DISP_D9,DISP_D1D9,PACT,PPEN,PPSOC,PIMPOT,PPAT,NOTE_FILO,C,C_C2SNP,C_C2SP,NOTE_CNAM,A,APPA,ARSAS,AAAH,NOTE_CNAF,annee
6216062667,"34,7",15210,7880.0,22520.0,"41,7",1720.0,30880.0,18,16690,12410.0,22140.0,"29,1",9550.0,28830.0,3,"62,1","32,4","13,7","-14,1","5,89999999999999",0,44851.0,9166.0,1598.0,0.0,14851.0,5603.0,3464.0,1308.0,0.0,2022
6216062758,"37,5",16190,8540.0,23810.0,"38,7",2280.0,33150.0,"14,6",17370,12760.0,23210.0,"26,7",9750.0,30700.0,"3,1","64,5","31,8","12,2","-15,2","6,7",0,47184.0,8987.0,1725.0,0.0,14886.0,5614.0,3397.0,1294.0,0.0,2022
62178,"29,1",14750,8180.0,21430.0,"42,8",2000.0,29420.0,"14,7",16140,12320.0,21430.0,"30,1",9580.0,27740.0,"2,9","63,2","31,7","13,5","-13,1","4,69999999999999",0,19561.0,4220.0,799.0,0.0,6200.0,2363.0,1450.0,657.0,0.0,2022
6217862270,29,14750,8090.0,21430.0,"42,6",1760.0,29270.0,"16,6",16160,12320.0,21470.0,"30,1",9580.0,27630.0,"2,9","63,5","31,2","13,8","-12,8","4,3",0,25944.0,5517.0,1019.0,0.0,8006.0,3089.0,1881.0,823.0,0.0,2022
6217862400,"29,7",15060,8450.0,21780.0,"41,5",2240.0,29640.0,"13,2",16410,12460.0,21670.0,"29,1",9650.0,27910.0,"2,9","64,5","31,1","13,2","-13,1","4,3",0,24193.0,4882.0,962.0,0.0,7395.0,2829.0,1679.0,768.0,0.0,2022
6218662563,"32,7",15990,9390.0,22580.0,"38,4",3790.0,29390.0,"7,8",17270,12930.0,22410.0,"25,7",10060.0,27820.0,"2,8","69,2","27,8","12,5","-12,9","3,40000000000001",0,18688.0,3020.0,661.0,0.0,5164.0,2060.0,1046.0,456.0,0.0,2022
62193,"34,7",15400,7920.0,22610.0,"41,3",800.0,30460.0,"38,1",16710,12210.0,22230.0,"29,9",9350.0,28450.0,3,"65,1","29,7","13,7","-13,9","5,40000000000001",0,66134.0,14296.0,2383.0,0.0,20277.0,7463.0,5372.0,1556.0,0.0,2022
6219462270,"28,4",14630,8030.0,21330.0,"43,1",1810.0,28430.0,"15,8",16080,12310.0,21480.0,"30,9",9530.0,26940.0,"2,8",64,"30,4","14,4","-11,9","3,09999999999999",0,11342.0,2261.0,388.0,0.0,3299.0,1267.0,766.0,336.0,0.0,2022
62215,"39,3",17930,11530.0,24710.0,"29,8",5660.0,33340.0,"5,9",18670,14210.0,24210.0,"19,4",10960.0,30820.0,"2,8",72,"27,8","9,5","-14,2","4,90000000000001",0,16702.0,2440.0,423.0,0.0,4077.0,1477.0,676.0,411.0,0.0,2022
62249,"33,2",15980,10180.0,22270.0,36,5770.0,28640.0,5,17510,13640.0,22350.0,"20,7",10640.0,27390.0,"2,6","74,9","22,5","11,6","-12,1","3,09999999999999",0,7592.0,946.0,219.0,0.0,1756.0,654.0,284.0,116.0,0.0,2022
